canonical_team,year,perf_mean_age,perf_peak_density,perf_global_exposure,perf_talent_variance,squad_size
Algeria,2026,26.48148148148148,0.5925925925925926,0.48148148148148145,,27
Argentina,2026,28.51851851851852,0.5555555555555556,0.7407407407407407,,27
Australia,2026,26.85185185185185,0.37037037037037035,0.3333333333333333,,27
Austria,2026,28.037037037037038,0.6296296296296297,0.6666666666666666,,27
Belgium,2026,27.11111111111111,0.4074074074074074,0.7407407407407407,,27
Bosnia and Herzegovina,2026,25.925925925925927,0.5185185185185185,0.4074074074074074,,27
Brazil,2026,28.555555555555557,0.48148148148148145,0.5185185185185185,,27
Cabo Verde,2026,29.185185185185187,0.5185185185185185,0.037037037037037035,,27
Canada,2026,26.48148148148148,0.6296296296296297,0.4074074074074074,,27
Colombia,2026,29.48148148148148,0.4444444444444444,0.3333333333333333,,27
Congo DR,2026,28.40740740740741,0.5185185185185185,0.48148148148148145,,27
Croatia,2026,27.85185185185185,0.5555555555555556,0.6666666666666666,,27
Curaçao,2026,27.48148148148148,0.5555555555555556,0.1111111111111111,,27
Czechia,2026,27.185185185185187,0.48148148148148145,0.25925925925925924,,27
Ecuador,2026,25.59259259259259,0.5925925925925926,0.25925925925925924,,27
Egypt,2026,28.62962962962963,0.5185185185185185,0.18518518518518517,,27
England,2026,26.62962962962963,0.4444444444444444,0.9259259259259259,,27
France,2026,26.555555555555557,0.5555555555555556,0.8888888888888888,,27
Germany,2026,27.62962962962963,0.48148148148148145,0.9259259259259259,,27
Ghana,2026,26.48148148148148,0.5185185185185185,0.6296296296296297,,27
Haiti,2026,27.037037037037038,0.7037037037037037,0.2962962962962963,,27
Iran,2026,29.666666666666668,0.3333333333333333,0.0,,27
Iraq,2026,26.40740740740741,0.5555555555555556,0.07407407407407407,,27
Côte d'Ivoire,2026,25.40740740740741,0.5185185185185185,0.4444444444444444,,27
Japan,2026,27.185185185185187,0.7037037037037037,0.48148148148148145,,27
Jordan,2026,28.0,0.4444444444444444,0.037037037037037035,,27
South Korea,2026,27.444444444444443,0.6296296296296297,0.25925925925925924,,27
Mexico,2026,27.48148148148148,0.5185185185185185,0.18518518518518517,,27
Morocco,2026,25.962962962962962,0.48148148148148145,0.5925925925925926,,27
Netherlands,2026,27.37037037037037,0.6296296296296297,0.8148148148148148,,27
New Zealand,2026,27.59259259259259,0.4444444444444444,0.25925925925925924,,27
Norway,2026,26.333333333333332,0.6666666666666666,0.7037037037037037,,27
Panama,2026,29.85185185185185,0.5185185185185185,0.037037037037037035,,27
Paraguay,2026,28.48148148148148,0.4444444444444444,0.18518518518518517,,27
Portugal,2026,27.48148148148148,0.5925925925925926,0.6296296296296297,,27
Qatar,2026,28.85185185185185,0.4444444444444444,0.037037037037037035,,27
Saudi Arabia,2026,27.88888888888889,0.5925925925925926,0.037037037037037035,,27
Scotland,2026,28.62962962962963,0.4444444444444444,0.5555555555555556,,27
Senegal,2026,26.62962962962963,0.3333333333333333,0.7407407407407407,,27
South Africa,2026,26.333333333333332,0.4444444444444444,0.07407407407407407,,27
Spain,2026,26.185185185185187,0.48148148148148145,0.9629629629629629,,27
Sweden,2026,26.962962962962962,0.6666666666666666,0.6296296296296297,,27
Switzerland,2026,27.74074074074074,0.5555555555555556,0.8888888888888888,,27
Tunisia,2026,26.25925925925926,0.4074074074074074,0.3333333333333333,,27
Türkiye,2026,27.185185185185187,0.5555555555555556,0.3333333333333333,,27
United States,2026,26.40740740740741,0.7037037037037037,0.5185185185185185,,27
Uruguay,2026,28.14814814814815,0.7777777777777778,0.2962962962962963,,27
Uzbekistan,2026,27.88888888888889,0.48148148148148145,0.037037037037037035,,27
