#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,SCHLAGER Alexander,Alexander,SCHLAGER,SCHLAGER,1996-02-01,FC Red Bull Salzburg (AUT),188.0,Austria
2.0,DF,AFFENGRUBER David,David Leopold,AFFENGRUBER,AFFENGRUBER,2001-03-19,Elche CF (ESP),185.0,Austria
3.0,DF,DANSO Kevin,Kevin,DANSO,DANSO,1998-09-19,Tottenham Hotspur FC (ENG),190.0,Austria
4.0,MF,SCHLAGER Xaver,Xaver,SCHLAGER,XAVER,1997-09-28,RB Leipzig (GER),174.0,Austria
5.0,DF,POSCH Stefan,Stefan,POSCH,POSCH,1997-05-14,1 . FSV Mainz 05 (GER),188.0,Austria
6.0,MF,SEIWALD Nicolas,Nicolas,SEIWALD,SEIWALD,2001-05-04,RB Leipzig (GER),179.0,Austria
7.0,FW,ARNAUTOVIC Marko,Marko,ARNAUTOVIC,ARNAUTOVIC,1989-04-19,FK Crvena Zvezda (SRB),192.0,Austria
8.0,DF,ALABA David,David,ALABA,ALABA,1992-06-24,Real Madrid C. F. (ESP),180.0,Austria
9.0,MF,SABITZER Marcel,Marcel,SABITZER,SABITZER,1994-03-17,Borussia Dortmund (GER),178.0,Austria
10.0,MF,GRILLITSCH Florian,Florian,GRILLITSCH,GRILLITSCH,1995-08-07,SC Braga (POR),186.0,Austria
11.0,FW,GREGORITSCH Michael,Michael,GREGORITSCH,GREGORITSCH,1994-04-18,FC Augsburg (GER),193.0,Austria
12.0,GK,WIEGELE Florian,Florian,WIEGELE,WIEGELE,2001-03-21,FC Viktoria Plzeň (CZE),205.0,Austria
13.0,GK,PENTZ Patrick,Patrick,PENTZ,PENTZ,1997-01-02,Brøndby IF (DEN),183.0,Austria
14.0,FW,KALAJDZIC Sasa,Saša,KALAJDŽIĆ,KALAJDZIC,1997-07-07,LASK Linz (AUT),200.0,Austria
15.0,DF,LIENHART Philipp,Philipp,LIENHART,LIENHART,1996-07-11,SC Freiburg (GER),189.0,Austria
16.0,DF,MWENE Phillip,Phillip,MWENE,MWENE,1994-01-29,1 . FSV Mainz 05 (GER),170.0,Austria
17.0,MF,CHUKWUEMEKA Carney,Carney Chibueze,CHUKWUEMEKA,CHUKWUEMEKA,2003-10-20,Borussia Dortmund (GER),187.0,Austria
18.0,MF,SCHMID Romano,Romano,SCHMID,SCHMID,2000-01-27,SV Werder Bremen (GER),168.0,Austria
19.0,MF,BAUMGARTNER Christoph,Christoph,BAUMGARTNER,BAUMGARTNER,1999-08-01,RB Leipzig (GER),180.0,Austria
20.0,MF,LAIMER Konrad,Konrad,LAIMER,LAIMER,1997-05-27,FC Bayern München (GER),180.0,Austria
21.0,FW,WIMMER Patrick,Patrick,WIMMER,WIMMER,2001-05-30,VfL Wolfsburg (GER),182.0,Austria
22.0,MF,PRASS Alexander,Alexander,PRASS,PRASS,2001-05-26,TSG Hoffenheim (GER),180.0,Austria
23.0,DF,FRIEDL Marco,Marco,FRIEDL,FRIEDL,1998-03-16,SV Werder Bremen (GER),187.0,Austria
24.0,MF,WANNER Paul,Paul,WANNER,WANNER,2005-12-23,PSV Eindhoven (NED),185.0,Austria
25.0,DF,SVOBODA Michael,Michael,SVOBODA,SVOBODA,1998-10-15,Venezia FC (ITA),195.0,Austria
26.0,MF,SCHOEPF Alessandro,Alessandro Andre,SCHÖPF,SCHÖPF,1994-02-07,Wolfsberger AC (AUT),178.0,Austria
13.5,Head coach,Unknown,Ralf Dietrich,RANGNICK,Unknown,Unknown,Unknown,184.69230769230768,Germany
