year,host,winner
1930,Uruguay,Uruguay
1934,Italy,Italy
1938,France,Italy
1950,Brazil,Uruguay
1954,Switzerland,Germany
1958,Sweden,Brazil
1962,Chile,Brazil
1966,England,England
1970,Mexico,Brazil
1974,Germany,Germany
1978,Argentina,Argentina
1982,Spain,Italy
1986,Mexico,Argentina
1990,Italy,Germany
1991,China,United States
1994,United States,Brazil
1995,Sweden,Norway
1998,France,France
1999,United States,United States
2002,"Korea, Japan",Brazil
2003,United States,Germany
2006,Germany,Italy
2007,China,Germany
2010,South Africa,Spain
2011,Germany,Japan
2014,Brazil,Germany
2015,Canada,United States
2018,Russia,France
2019,France,United States
2022,Qatar,Argentina
