home_win_prob,away_win_prob,draw_prob,expected_goals_home,expected_goals_away,home_team,away_team
0.32484,0.256,0.41916,0.6542859889316647,0.5492586410606634,Mexico,South Africa
0.36092,0.19892,0.44016,0.6629046391809689,0.4175472957791508,South Korea,Czechia
0.30828,0.27264,0.41908,0.6123345753551337,0.5611674133695008,Canada,Bosnia and Herzegovina
0.50304,0.19784,0.29912,1.2627830495270944,0.6727540805474141,USA,Paraguay
0.316,0.39132,0.29268,1.0290081616991011,1.1744911516941692,Qatar,Switzerland
0.71528,0.1058,0.17892,2.2592083443931696,0.7331337812185629,Brazil,Morocco
0.08812,0.5486,0.36328,0.23604203231474666,1.0004398052893773,Haiti,Scotland
0.2554,0.37328,0.37132,0.640673147894683,0.844112585139285,Australia,Türkiye
0.35476,0.381,0.26424,1.2443567957698616,1.3039078518255593,Germany,Curaçao
0.62192,0.17832,0.19976,2.181377178562346,1.10734846575422,Netherlands,Japan
0.57512,0.16016,0.26472,1.4901086743059144,0.6629056647379739,Ivory Coast,Ecuador
0.43372,0.2958,0.27048,1.3448976793867649,1.0507201391073921,Sweden,Tunisia
0.86508,0.04232,0.0926,3.216278787472535,0.6144266642244212,Spain,Cabo Verde
0.71852,0.13756,0.14392,3.040366506930754,1.3179032253407,Belgium,Egypt
0.36472,0.38192,0.25336,1.3258601392775622,1.3585456248572427,Saudi Arabia,Uruguay
0.08764,0.75652,0.15584,0.6804462743830209,2.4071402019967065,Iran,New Zealand
0.57604,0.23648,0.18748,2.545040018226695,1.6250240443060378,France,Senegal
0.09792,0.64692,0.25516,0.41933236503613924,1.5253187069686673,Iraq,Norway
0.58036,0.16504,0.2546,1.535662551330544,0.691314484285569,Argentina,Algeria
0.12556,0.76732,0.10712,1.9605758142176946,4.257650822585563,Austria,Jordan
0.736,0.13456,0.12944,3.371702394623265,1.4858725693022292,Portugal,DR Congo
0.4744,0.27648,0.24912,1.5571166810583417,1.1250836589938467,England,Croatia
0.10304,0.60592,0.29104,0.3491963820385649,1.2641807588953047,Ghana,Panama
0.069,0.41752,0.51348,0.12987112333543743,0.6077709728684988,Uzbekistan,Colombia
0.3774,0.23144,0.39116,0.794636618037799,0.5492586410606634,Czechia,South Africa
0.50756,0.1814,0.31104,1.1491190061829206,0.5611674133695008,Switzerland,Bosnia and Herzegovina
0.30152,0.27564,0.42284,0.6123345753551337,0.5642083345281593,Canada,Qatar
0.36128,0.19484,0.44388,0.6542859889316647,0.41160943178351134,Mexico,South Korea
0.36832,0.36436,0.26732,1.2627830495270944,1.2481205365593122,USA,Australia
0.63472,0.1428,0.22248,1.83337782725731,0.7331337812185629,Scotland,Morocco
0.61072,0.18744,0.20184,2.2592083443931696,1.1848747326495583,Brazil,Haiti
0.7282,0.09804,0.17376,2.2311789838616303,0.6727540805474141,Türkiye,Paraguay
0.66024,0.14876,0.191,2.181377178562346,0.9295979572777469,Netherlands,Sweden
0.44932,0.25732,0.29336,1.2443567957698616,0.8517515771437443,Germany,Ivory Coast
0.41116,0.33736,0.25148,1.471040005565398,1.3039078518255593,Ecuador,Curaçao
0.30644,0.39064,0.30292,0.9471656177151965,1.10734846575422,Tunisia,Japan
0.87364,0.03792,0.08844,3.216278787472535,0.5800628556393719,Spain,Saudi Arabia
0.7968,0.08196,0.12124,3.040366506930754,0.9297772898744628,Belgium,Iran
0.379,0.24932,0.37168,0.8351812048226173,0.6144266642244212,Uruguay,Cabo Verde
0.11232,0.60124,0.28644,0.3946237246957115,1.3179032253407,New Zealand,Egypt
0.5658,0.176,0.2582,1.535662551330544,0.7272099474321492,Argentina,Austria
0.63456,0.18908,0.17636,2.545040018226695,1.355110251806341,France,Iraq
0.28496,0.468,0.24704,1.1885564760644927,1.6250240443060378,Norway,Senegal
0.0494,0.4672,0.4834,0.1,0.691314484285569,Jordan,Algeria
0.85996,0.04992,0.09012,3.371702394623265,0.7799121583337998,Portugal,Uzbekistan
0.39264,0.36604,0.24132,1.5571166810583417,1.4836190048882052,England,Ghana
0.53504,0.23692,0.22804,1.806130700044967,1.1250836589938467,Panama,Croatia
0.30736,0.43836,0.25428,1.2125119317506072,1.4858725693022292,Colombia,DR Congo
0.7586,0.075,0.1664,2.234379018051757,0.5642083345281593,Bosnia and Herzegovina,Qatar
0.25436,0.50912,0.23652,1.1491190061829206,1.7436004282745543,Switzerland,Canada
0.42172,0.31776,0.26052,1.4182104004278708,1.1848747326495583,Morocco,Haiti
0.57128,0.2,0.22872,1.83337782725731,1.0052700398370953,Scotland,Brazil
0.69044,0.08848,0.22108,1.6687899954987693,0.41160943178351134,South Africa,South Korea
0.20804,0.52064,0.27132,0.794636618037799,1.4178267250118122,Czechia,Mexico
0.05068,0.52736,0.42196,0.12213013350281603,0.8517515771437443,Curaçao,Ivory Coast
0.24208,0.56012,0.1978,1.471040005565398,2.3008195368190023,Ecuador,Germany
0.35924,0.31352,0.32724,0.9471656177151965,0.8511215460643892,Tunisia,Netherlands
0.43604,0.2768,0.28716,1.243320007635873,0.9295979572777469,Japan,Sweden
0.31572,0.40428,0.28,1.0661483254810007,1.2481205365593122,Paraguay,Australia
0.51324,0.28404,0.20272,2.2311789838616303,1.6480206151986367,Türkiye,USA
0.0792,0.6444,0.2764,0.30302389493615145,1.355110251806341,Senegal,Iraq
0.3986,0.31408,0.28732,1.1885564760644927,1.0260070105566443,Norway,France
0.37976,0.25208,0.36816,0.8351812048226173,0.6209900553360802,Uruguay,Spain
0.38264,0.23916,0.3782,0.8181789620779523,0.5800628556393719,Cabo Verde,Saudi Arabia
0.20124,0.33044,0.46832,0.3946237246957115,0.5891842365771475,New Zealand,Belgium
0.179,0.45708,0.36392,0.4622237296083786,0.9297772898744628,Egypt,Iran
0.4838,0.28804,0.22816,1.806130700044967,1.361626223778083,Panama,England
0.34592,0.41096,0.24312,1.359496096078264,1.4836190048882052,Croatia,Ghana
0.12608,0.44808,0.42584,0.2899854168747702,0.7799121583337998,DR Congo,Uzbekistan
0.443,0.26332,0.29368,1.2125119317506072,0.8498847139423931,Colombia,Portugal
0.40108,0.26252,0.3364,0.9721089010429095,0.7272099474321492,Algeria,Austria
0.02644,0.69288,0.28068,0.1,1.296348869298432,Jordan,Argentina
